ac_number,constituency,region,reserved,party_2026,candidate_2026,winner_votes_2026,total_votes_2026,margin_2026,vote_share_2026,party_2021,candidate_2021,winner_votes_2021,total_votes_2021,margin_2021,vote_share_2021,turnout_2021,seat_status,vote_share_bucket
11,"Dr.Radhakrishnan Nagar","Chennai Metro",GEN,TVK,"N. MARIE WILSON",97800,181206,49668,54.0,DMK,"EBENEZER. J.J. (@)  JOHN EBENEZER.J",95763,187027,42479,51.2,70.98,Flipped,"Above 50%"
12,Perambur,"Chennai Metro",GEN,TVK,"C. JOSEPH VIJAY",120365,204384,53715,58.9,DMK,"SHEKAR. R.D",105267,200387,54976,52.5,63,Flipped,"Above 50%"
13,Kolathur,"Chennai Metro",GEN,TVK,"V. S. BABU",82997,184051,8795,45.1,DMK,"M.K. STALIN",105522,173388,70384,60.9,61.04,Flipped,"35% to 50%"
14,Villivakkam,"Chennai Metro",GEN,TVK,"AADHAV ARJUNA",66445,141452,17302,47.0,DMK,"A . Vetriazhagan",76127,144092,37237,52.8,55.92,Flipped,"35% to 50%"
15,Thiru-Vi-Ka-Nagar,"Chennai Metro",SC,TVK,"M. R. PALLAVI",69125,143903,22333,48.0,DMK,SIVAKUMAR.P,81727,133696,55013,61.1,60.62,Flipped,"35% to 50%"
16,Egmore,"Chennai Metro",SC,TVK,RAJMOHAN,53901,119738,10804,45.0,DMK,I.PARANTHAMEN,68832,119271,38768,57.7,61.13,Flipped,"35% to 50%"
17,Royapuram,"Chennai Metro",GEN,TVK,"K.V. VIJAY DAMU",59091,127356,14249,46.4,DMK,MURTHY.R.IDREAM,64424,121191,27779,53.2,62.6,Flipped,"35% to 50%"
18,Harbour,"Chennai Metro",GEN,DMK,"P K SEKARBABU",45254,99622,11750,45.4,DMK,"SEKARBABU. P.K",59317,101650,27274,58.4,57.64,Retained,"35% to 50%"
19,Chepauk-Thiruvallikeni,"Chennai Metro",GEN,DMK,"UDHAYANIDHI STALIN",62992,140741,7140,44.8,DMK,"UDHAYANIDHI STALIN",93285,137405,69355,67.9,58.33,Retained,"35% to 50%"
20,"Thousand Lights","Chennai Metro",GEN,TVK,PRABHAKAR.J.C.D,58965,131824,15141,44.7,DMK,"EZHILAN N",71867,135940,32462,52.9,56.25,Flipped,"35% to 50%"
21,"Anna Nagar","Chennai Metro",GEN,TVK,V.K.RAMKUMAR,71375,163339,21363,43.7,DMK,"M.K. Mohan",80054,165096,27445,48.5,57.33,Flipped,"35% to 50%"
22,Virugampakkam,"Chennai Metro",GEN,TVK,SABARINATHAN.R,76092,172831,27086,44.0,DMK,"AMV.PRABHAKARA RAJA",74351,169087,18367,44.0,57.59,Flipped,"35% to 50%"
23,Saidapet,"Chennai Metro",GEN,TVK,"ARUL PRAKASAM. M",81205,160401,28514,50.6,DMK,"SUBRAMANIAN. MA",80194,160327,29408,50.0,57.36,Flipped,"Above 50%"
24,Thiyagarayanagar,"Chennai Metro",GEN,TVK,"ANAND N",51632,133928,13027,38.6,DMK,"KARUNANITHI J",56035,138114,137,40.6,55.99,Flipped,"35% to 50%"
25,Mylapore,"Chennai Metro",GEN,TVK,"VENKATARAMANAN. P",70070,150594,28972,46.5,DMK,VELU.DHA,68392,153430,12633,44.6,56.6,Flipped,"35% to 50%"
26,Velachery,"Chennai Metro",GEN,TVK,"KUMAR. R",80430,184815,33305,43.5,INC,"JMH.AASSAN MAULAANA",68493,176714,4352,38.8,56.18,Flipped,"35% to 50%"
27,Shozhinganallur,"Chennai Metro",GEN,TVK,"ECR P SARAVANAN",220382,447295,96780,49.3,DMK,S.ARAVINDRAMESH,171558,388355,35405,44.2,55.51,Flipped,"35% to 50%"
28,Alandur,"Chennai Metro",GEN,TVK,M.HARISH,112205,261570,29609,42.9,DMK,T.M.Anbarasan,116785,237751,40571,49.1,60.82,Flipped,"35% to 50%"
29,Sriperumbudur,"Chennai Metro",SC,TVK,THENNARASU.K,147611,331088,54246,44.6,INC,SELVAPERUNTHAGAI,115353,264262,10879,43.7,73.94,Flipped,"35% to 50%"
30,Pallavaram,"Chennai Metro",GEN,TVK,J.KAMATCHI,133611,283677,54693,47.1,DMK,KARUNANITHI,126427,266194,37781,47.5,60.86,Flipped,"35% to 50%"
31,Tambaram,"Chennai Metro",GEN,TVK,D.SARATHKUMAR,118967,278809,35621,42.7,DMK,Raja.S.R,116840,248968,36824,46.9,59.55,Flipped,"35% to 50%"
32,Chengalpattu,"Chennai Metro",GEN,TVK,"S. THIYAGARAJAN",137136,324010,35641,42.3,DMK,VARALAKSHMI.M,130573,274087,26665,47.6,63.54,Flipped,"35% to 50%"
33,Thiruporur,North,GEN,TVK,B.VIJAYARAJ,110095,262409,39351,42.0,VCK,S.S.Balaji,93954,226729,1947,41.4,76.36,Flipped,"35% to 50%"
34,Cheyyur,North,SC,AIADMK,"RAJASEKAR. E",63809,187584,5668,34.0,VCK,"Babu M",82750,179120,4042,46.2,77.88,Flipped,"Below 35%"
35,Madurantakam,North,SC,AIADMK,"MARAGATHAM KUMARAVEL.K",69284,198251,7194,34.9,AIADMK,"Maragatham. K",86646,185842,3570,46.6,80.65,Retained,"Below 35%"
36,Uthiramerur,North,GEN,TVK,MUNIRATHINAM.J,84917,227765,14223,37.3,DMK,"SUNDAR K",93427,210529,1622,44.4,80.1,Flipped,"35% to 50%"
37,Kancheepuram,North,GEN,TVK,"R.V. RANJITHKUMAR",91350,246317,15488,37.1,DMK,"C.V.M.P. Ezhailzrasan",102712,229432,11595,44.8,73.28,Flipped,"35% to 50%"
38,Arakkonam,North,SC,TVK,"V. GANDHIRAJ",73776,182340,23121,40.5,AIADMK,S.RAVI,85399,171412,27169,49.8,74.89,Flipped,"35% to 50%"
39,Sholingur,North,GEN,TVK,G.KAPIL,84506,233684,5686,36.2,INC,A.M.MUNIRATHINAM,110228,224109,26698,49.2,80.09,Flipped,"35% to 50%"
40,Katpadi,North,GEN,TVK,"DR M SUDHAKAR",69868,203497,5870,34.3,DMK,DURAIMURUGAN,85140,186246,746,45.7,74,Flipped,"Below 35%"
41,Ranipet,North,GEN,TVK,THAHIRA,91149,221038,5787,41.2,DMK,R.GANDHI,103291,207462,16498,49.8,77.24,Flipped,"35% to 50%"
42,Arcot,North,GEN,AIADMK,S.M.SUKUMAR,105608,225786,42720,46.8,DMK,J.L.Eswarappan,103885,209791,19958,49.5,79.62,Flipped,"35% to 50%"
43,Vellore,North,GEN,TVK,"M.M.VINOTH KANNAN",73032,190527,6777,38.3,DMK,"Karthikeyan .P",84299,179899,9181,46.9,70.25,Flipped,"35% to 50%"
44,Anaikattu,North,GEN,AIADMK,D.VELAZHAGAN,76302,216318,7081,35.3,DMK,A.P.Nandakumar,95159,197805,6360,48.1,77.05,Flipped,"35% to 50%"
45,Kilvaithinankuppam,North,SC,TVK,"THENRAL KUMAR. E",74305,189892,20255,39.1,AIADMK,"M.JAGAN MOORTHY",84579,174124,10582,48.6,76.5,Flipped,"35% to 50%"
46,Gudiyattam,North,SC,TVK,K.SINDU,82858,229076,10097,36.2,DMK,Amulu.V,100412,211630,6901,47.4,72.56,Flipped,"35% to 50%"
47,Vaniyambadi,North,GEN,IUML,"SYED FAROOQ BASHA SSB",73181,212534,2982,34.4,AIADMK,"G.SENDHIL KUMAR",88018,189997,4904,46.3,75.55,Flipped,"Below 35%"
48,Ambur,North,GEN,DMK,"VILWANATHAN. A.C.",74102,195584,7131,37.9,DMK,VILWANATHAN.A.C,90476,177878,20232,50.9,74.01,Retained,"35% to 50%"
49,Jolarpet,North,GEN,AIADMK,"VEERAMANI K.C.",78633,213042,16083,36.9,DMK,DEVARAJI.K.,89490,196358,1091,45.6,80.98,Flipped,"35% to 50%"
50,Tiruppattur,North,GEN,TVK,"DR.THIRUPATHI. N",105098,202925,48263,51.8,DMK,"A. NALLATHAMBI",96522,185930,28240,51.9,76.97,Flipped,"Above 50%"
51,Uthangarai,North,SC,TVK,"N ELAIYARAJA",70201,205530,5198,34.2,AIADMK,T.M.TAMILSELVAM,99675,188223,28387,53.0,78.37,Flipped,"Below 35%"
52,Bargur,North,GEN,AIADMK,"E.C. GOVINDARASAN",71240,213960,4241,33.3,DMK,"MATHIAZHAGAN D",97256,197784,12614,49.2,79.08,Flipped,"Below 35%"
53,Krishnagiri,North,GEN,TVK,MUKUNDHAN.P,89374,230181,18844,38.8,AIADMK,Ashokkumar.K,96050,211648,794,45.4,78.5,Flipped,"35% to 50%"
54,Veppanahalli,North,GEN,DMK,SRINIVASAN.P.S,74691,222608,138,33.6,AIADMK,K.P.Munusamy,94104,205141,3054,45.9,81.31,Flipped,"Below 35%"
55,Hosur,North,GEN,AIADMK,"BALAKRISHNAREDDY. P",109867,277770,27803,39.6,DMK,"PRAKAASH Y",118231,248098,12367,47.7,70.09,Flipped,"35% to 50%"
56,Thalli,North,GEN,CPI,"RAMACHANDRAN. T",78283,205878,5240,38.0,CPI,RAMACHANDRAN.T,120641,194022,56226,62.2,77.06,Retained,"35% to 50%"
57,Palacodu,North,GEN,AIADMK,"ANBALAGAN. K.P.",102807,225257,39042,45.6,AIADMK,ANBALAGAN.K.P.,110070,206595,28100,53.3,87.37,Retained,"35% to 50%"
58,Pennagaram,North,GEN,TVK,"GAJENDRAN. S.",81240,228666,3165,35.5,PMK,"MANI. G.K",106123,210305,21186,50.5,85,Flipped,"35% to 50%"
59,Dharmapuri,North,GEN,PMK,"SOWMIYA ANBUMANI",93713,238579,20896,39.3,PMK,VENKATESHWARAN.S.P.,105630,217333,26860,48.6,79.69,Retained,"35% to 50%"
60,Pappireddipatti,North,GEN,AIADMK,"MARAGATHAM VETRIVEL",101829,236621,33114,43.0,AIADMK,GOVINDASAMY.A,114507,220994,36943,51.8,82.15,Retained,"35% to 50%"
61,Harur,North,SC,AIADMK,"SAMPATHKUMAR. V",75523,220042,3329,34.3,AIADMK,SAMPATHKUMAR.V,99061,198565,30362,49.9,78.46,Retained,"Below 35%"
62,Chengam,North,SC,AIADMK,S.VELU,87802,242897,13278,36.1,DMK,GIRI.M.P,108081,223950,11570,48.3,80.66,Flipped,"35% to 50%"
63,Tiruvannamalai,North,GEN,DMK,"VELU. E.V",88273,220066,2455,40.1,DMK,"E V VELU",137876,208836,94673,66.0,71.69,Retained,"35% to 50%"
