ac_number,constituency,region,reserved,party_2026,candidate_2026,winner_votes_2026,total_votes_2026,margin_2026,vote_share_2026,party_2021,candidate_2021,winner_votes_2021,total_votes_2021,margin_2021,vote_share_2021,turnout_2021,seat_status,vote_share_bucket
161,Mayiladuthurai,Delta,GEN,INC,"JAMAL MOHAMED YOUNOOS. Y.N",68011,188461,10845,36.1,INC,Rajakumar.S,73642,174640,2742,42.2,70.14,Retained,"35% to 50%"
162,Poompuhar,Delta,GEN,DMK,"NIVEDHA M MURUGAN",81096,219324,8260,37.0,DMK,"Nivedha M. Murugan",96102,207838,3299,46.2,75.19,Retained,"35% to 50%"
163,Nagapattinam,Delta,GEN,DMK,M.H.JAWAHIRULLAH,56305,151326,9781,37.2,VCK,"J. Mohamed Shanavas",66281,143560,7238,46.2,71.97,Flipped,"35% to 50%"
164,Kilvelur,Delta,SC,CPI(M),"LATHA. T",56108,151637,2278,37.0,CPI(M),"NAGAIMAALI V P",67988,142995,16985,47.5,79.43,Retained,"35% to 50%"
165,Vedaranyam,Delta,GEN,AIADMK,"MANIAN. O.S",59172,162216,7331,36.5,AIADMK,O.S.MANIAN,78719,158060,12329,49.8,80.6,Retained,"35% to 50%"
166,Thiruthuraipoondi,Delta,SC,CPI,MARIMUTHU.K,74062,191030,12922,38.8,CPI,"MARIMUTHU K",97092,185886,30068,52.2,76.74,Retained,"35% to 50%"
167,Mannargudi,Delta,GEN,AMMK,"KAMARAJ. S",68416,194100,1566,35.2,DMK,"RAJAA T R B",87172,193229,37393,45.1,74.34,Flipped,"35% to 50%"
168,Thiruvarur,Delta,GEN,DMK,"KALAIVANAN POONDI  K",93408,217875,18148,42.9,DMK,"KALAIVANAN  POONDI  K.",108906,208290,51174,52.3,73.25,Retained,"35% to 50%"
169,Nannilam,Delta,GEN,AIADMK,"KAMARAJ. R",103462,231444,41724,44.7,AIADMK,"KAMARAJ R",103637,221944,4424,46.7,81.08,Retained,"35% to 50%"
170,Thiruvidaimarudur,Delta,SC,DMK,GOVI.CHEZHIAAN,79951,208944,14116,38.3,DMK,"CHEZHIAAN,  GOVI.",95763,198446,10680,48.3,75.76,Retained,"35% to 50%"
171,Kumbakonam,Delta,GEN,TVK,VINOTH,78650,208288,679,37.8,DMK,"ANBALAGAN, G.",96057,197564,21383,48.6,71.45,Flipped,"35% to 50%"
172,Papanasam,Delta,GEN,IUML,"A.M. SHAHJAHAN",69284,207723,1065,33.4,DMK,"Dr.JAWAHIRULLAH, M.H.",86567,196982,16273,43.9,74.76,Flipped,"Below 35%"
173,Thiruvaiyaru,Delta,GEN,DMK,"DURAI. CHANDRASEKARAN",80425,222111,8555,36.2,DMK,DURAI.CHANDRASEKARAN,103210,211430,53650,48.8,78.11,Retained,"35% to 50%"
174,Thanjavur,Delta,GEN,TVK,"R. VIJAYSARAVANAN",87705,198798,16955,44.1,DMK,"NEELAMEGAM, T.K.G.",103772,194859,47149,53.3,65.72,Flipped,"35% to 50%"
175,Orathanadu,Delta,GEN,DMK,"R. VAITHILINGAM",86759,195304,35028,44.4,AIADMK,"VAITHILINGAM, R.",90063,191840,28835,46.9,78.29,Flipped,"35% to 50%"
176,Pattukkottai,Delta,GEN,DMK,"ANNADURAI K",65963,183745,13754,35.9,DMK,"ANNADURAI, K.",79065,177200,25269,44.6,71.66,Retained,"35% to 50%"
177,Peravurani,Delta,GEN,DMK,"ASHOKKUMAR. N",60919,176274,3162,34.6,DMK,"ASHOKKUMAR, N.",89130,170850,23503,52.2,77.02,Retained,"Below 35%"
178,Gandharvakottai,Delta,SC,TVK,"N. SUBRAMANIAN",58795,167618,11039,35.1,CPI(M),M.Chinnadurai,69710,157620,12721,44.2,74.45,Flipped,"35% to 50%"
179,Viralimalai,Delta,GEN,AIADMK,"VIJAYABASKAR. C",105773,203921,62073,51.9,AIADMK,"VIJAYA BASKER C",102179,193423,23598,52.8,85.43,Retained,"Above 50%"
180,Pudukkottai,Delta,GEN,DMK,"V. MUTHURAJA",66825,190378,1867,35.1,DMK,"V . MUTHURAJA",85802,179892,13001,47.7,72.94,Retained,"35% to 50%"
181,Thirumayam,Delta,GEN,DMK,REGUPATHY.S,58201,182612,1492,31.9,DMK,S.REGUPATHY,71349,174031,1382,41.0,75.85,Retained,"Below 35%"
182,Alangudi,Delta,GEN,DMK,SIVA.V.MEYYANATHAN,64929,180483,12977,36.0,DMK,SIVA.V.MEYYANATHAN,87935,171842,25847,51.2,78.47,Retained,"35% to 50%"
183,Aranthangi,Delta,GEN,TVK,"MOHAMED FARVAS. J",73244,182730,10062,40.1,INC,"RAMACHANDRAN T",81835,168048,30893,48.7,70.21,Flipped,"35% to 50%"
184,Karaikudi,South,GEN,TVK,"DR.PRABHU. TK",101358,229267,46074,44.2,INC,S.Mangudi,75954,212456,21589,35.8,66.23,Flipped,"35% to 50%"
185,Tiruppattur,South,GEN,TVK,"SEENIVASA SETHUPATHY. R",83375,215710,1,38.7,DMK,KR.PERIYAKARUPPAN,103682,210766,37374,49.2,71.98,Flipped,"35% to 50%"
186,Sivaganga,South,GEN,TVK,"KULANTHAI RANI A",73737,214067,15081,34.4,AIADMK,"PR. Senthilnathan",82153,202044,11253,40.7,66.29,Flipped,"Below 35%"
